"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","cellType"
"Cell1324",8467,10806,20822,1213,15066,1815,"Batch2"
"Cell1325",8075,18038,21280,903,14801,1313,"Batch2"
"Cell1326",9604,12771,23262,1226,18944,1552,"Batch2"
"Cell1327",6279,17367,19715,1023,18556,1578,"Batch2"
"Cell1328",7337,16206,22663,1184,16404,1421,"Batch2"
"Cell1329",9072,12952,18890,916,16600,1930,"Batch2"
"Cell1330",8387,17260,30687,1214,18807,1641,"Batch2"
"Cell1331",7078,14011,14053,880,13395,1002,"Batch2"
"Cell1332",5374,12379,12911,617,12030,951,"Batch2"
"Cell1333",6598,15389,18744,988,15579,1247,"Batch2"
"Cell1334",12448,18199,28392,1483,18732,1962,"Batch2"
"Cell1335",11654,15995,30919,988,20078,1672,"Batch2"
"Cell1336",7916,13761,17860,976,14224,1059,"Batch2"
"Cell1337",10045,17655,20515,1231,21162,1397,"Batch2"
"Cell1338",8414,13941,26172,1081,15922,1845,"Batch2"
"Cell1339",6973,14427,22773,1126,21740,1271,"Batch2"
"Cell1340",7089,11319,17344,954,12513,1403,"Batch2"
"Cell1341",8604,14166,22953,948,17003,1353,"Batch2"
"Cell1342",5518,9298,15770,527,15673,1281,"Batch2"
"Cell1343",5239,11097,15346,691,11744,1120,"Batch2"
"Cell1344",6555,16668,23643,864,12604,1270,"Batch2"
"Cell1345",6783,16985,14584,752,12445,1189,"Batch2"
"Cell1346",6885,10175,17734,662,13653,985,"Batch2"
"Cell1347",8934,20346,28896,1269,23523,1563,"Batch2"
"Cell1348",8662,16148,17796,921,16485,1445,"Batch2"
"Cell1349",4902,9530,18338,724,13483,1384,"Batch2"
"Cell1350",9400,21194,27861,1157,21996,1291,"Batch2"
"Cell1351",6472,10610,18348,877,13330,1212,"Batch2"
"Cell1352",4760,9706,12756,463,9418,1022,"Batch2"
"Cell1353",9382,14070,20376,1430,15759,1561,"Batch2"
"Cell1354",8692,17468,19166,1367,18864,1459,"Batch2"
"Cell1355",8753,18102,25232,1127,18008,1426,"Batch2"
"Cell1356",9812,21700,31730,1351,20305,2500,"Batch2"
"Cell1357",8729,18007,25452,1014,16803,1861,"Batch2"
"Cell1358",8980,18218,20833,1223,20560,1726,"Batch2"
"Cell1359",9378,14844,19302,1386,16447,1850,"Batch2"
"Cell1360",5138,9880,9750,852,11243,883,"Batch2"
"Cell1361",6007,12554,17542,846,14465,1360,"Batch2"
"Cell1362",10523,16952,21964,1310,19795,1591,"Batch2"
"Cell1363",8373,13923,20829,878,17158,1577,"Batch2"
"Cell1364",6441,10651,17358,810,11967,1100,"Batch2"
"Cell1365",11246,18244,30861,1336,24493,2245,"Batch2"
"Cell1366",4588,9687,14980,706,8409,934,"Batch2"
"Cell1367",6065,12397,12906,612,13620,1096,"Batch2"
"Cell1368",6620,10578,11709,679,10117,804,"Batch2"
"Cell1369",8661,14616,20374,1070,14954,1577,"Batch2"
"Cell1370",6933,11518,21402,875,13031,1148,"Batch2"
"Cell1371",8847,21284,27154,986,19905,1249,"Batch2"
"Cell1372",6663,9486,17904,907,10898,1282,"Batch2"
"Cell1373",7382,15145,19418,912,14789,1081,"Batch2"
"Cell1374",8936,14544,19918,981,19676,1614,"Batch2"
"Cell1375",7241,19726,19754,1248,16457,2114,"Batch2"
"Cell1376",9772,19625,22347,1177,15644,1695,"Batch2"
"Cell1377",9939,19226,22332,1305,22202,1951,"Batch2"
"Cell1378",7312,13376,18312,1144,13469,1474,"Batch2"
"Cell1379",5558,10719,16652,815,10109,1007,"Batch2"
"Cell1380",8430,16217,21724,1215,17034,1383,"Batch2"
"Cell1381",7396,14195,20513,1330,14928,1705,"Batch2"
"Cell1382",7991,16401,23308,885,15088,1358,"Batch2"
"Cell1383",7344,14840,18531,1073,18054,1549,"Batch2"
"Cell1384",9337,14370,19487,1039,15488,1352,"Batch2"
"Cell1385",7758,16262,21931,881,16573,1321,"Batch2"
"Cell1386",7225,14080,23226,1001,15599,1277,"Batch2"
"Cell1387",9243,14439,30614,1102,16354,1595,"Batch2"
"Cell1388",7290,15645,16127,1117,13604,1230,"Batch2"
"Cell1389",7156,13877,24271,804,14468,1572,"Batch2"
"Cell1390",5765,11676,18611,1071,12354,1249,"Batch2"
"Cell1391",7076,12614,17614,1215,15945,1410,"Batch2"
"Cell1392",6386,10765,16002,953,13432,1248,"Batch2"
"Cell1393",5199,11288,15084,794,11654,922,"Batch2"
"Cell1394",10647,21948,32867,1297,21780,2016,"Batch2"
"Cell1395",7974,13864,20952,1016,17839,1397,"Batch2"
"Cell1396",9710,13017,17970,1070,20721,1374,"Batch2"
"Cell1397",8692,14832,17490,1034,17947,1161,"Batch2"
"Cell1398",9920,21723,28231,1177,17626,1636,"Batch2"
"Cell1399",7096,14893,19958,857,14638,1364,"Batch2"
"Cell1400",7669,18563,20057,1056,16189,1930,"Batch2"
"Cell1401",6961,12229,16888,740,14406,1089,"Batch2"
"Cell1402",9693,18901,31643,1174,20811,1670,"Batch2"
"Cell1403",8592,12046,14946,935,16536,1363,"Batch2"
"Cell1404",9219,12163,19584,935,15683,1821,"Batch2"
"Cell1405",5928,11931,22431,651,11275,1081,"Batch2"
"Cell1406",7048,13959,19219,876,20336,1571,"Batch2"
"Cell1407",8203,14630,23279,1402,19041,1883,"Batch2"
"Cell1408",8263,19374,23858,1123,21029,1178,"Batch2"
"Cell1409",7537,19390,28569,1568,21729,1997,"Batch2"
"Cell1410",3584,8761,12445,540,8729,705,"Batch2"
"Cell1411",9350,16448,19628,891,14529,1155,"Batch2"
"Cell1412",7527,16638,27522,1147,16431,1900,"Batch2"
"Cell1413",7899,15067,23318,1047,13543,1576,"Batch2"
"Cell1414",8058,12957,18374,977,18689,1641,"Batch2"
"Cell1415",8182,10218,16647,968,14126,1281,"Batch2"
"Cell1416",6226,11558,16222,740,10873,1204,"Batch2"
"Cell1417",6456,13579,22965,1141,19185,2076,"Batch2"
"Cell1418",8542,13104,15178,1275,16805,1396,"Batch2"
"Cell1419",11211,26809,33284,1915,27760,1974,"Batch2"
"Cell1420",10841,19257,25052,1478,21197,2103,"Batch2"
"Cell1421",6832,12105,21506,756,14041,1304,"Batch2"
"Cell1422",11202,21661,20507,1244,18673,1217,"Batch2"
"Cell1423",7200,13265,18676,1013,17103,1542,"Batch2"
"Cell1424",5640,10793,12583,800,10742,924,"Batch2"
"Cell1425",7286,12759,16465,755,12015,925,"Batch2"
"Cell1426",8522,17177,20777,929,20373,2078,"Batch2"
"Cell1427",7310,15178,17966,924,10910,1556,"Batch2"
"Cell1428",6215,12089,20431,918,13535,1518,"Batch2"
"Cell1429",7073,11346,18259,1079,13841,1378,"Batch2"
"Cell1430",4772,11568,13302,678,12631,1355,"Batch2"
"Cell1431",8816,17892,22274,982,18692,2008,"Batch2"
"Cell1432",6547,13768,22587,1299,14061,1647,"Batch2"
"Cell1433",6424,15193,20766,901,14199,1022,"Batch2"
"Cell1434",6844,13614,13600,783,13378,1547,"Batch2"
"Cell1435",10808,21596,24074,1204,20707,1682,"Batch2"
"Cell1436",7057,12736,23305,963,14212,1021,"Batch2"
"Cell1437",7251,14774,19378,799,11853,1355,"Batch2"
"Cell1438",10707,22630,30174,1666,25478,2396,"Batch2"
"Cell1439",10196,14799,24784,1146,19385,2011,"Batch2"
"Cell1440",6551,16498,22256,960,12966,1366,"Batch2"
"Cell1441",7544,17312,22231,950,15775,1003,"Batch2"
"Cell1442",8262,16740,23082,1343,17193,1291,"Batch2"
"Cell1443",6133,12614,15934,737,14218,1342,"Batch2"
"Cell1444",6953,10156,18733,790,13065,1073,"Batch2"
"Cell1445",7259,14168,25859,1012,16562,1776,"Batch2"
"Cell1446",7470,14397,24649,932,16708,1329,"Batch2"
"Cell1447",6333,11875,23526,910,17100,1448,"Batch2"
"Cell1448",7591,14800,17790,1102,17847,1399,"Batch2"
"Cell1449",8906,13447,21479,1140,19481,1499,"Batch2"
"Cell1450",8573,14244,23797,734,16184,1722,"Batch2"
"Cell1451",10507,16402,23723,1432,16906,1763,"Batch2"
"Cell1452",13040,18170,27916,1416,18640,1709,"Batch2"
"Cell1453",10789,16562,29925,1184,22313,1786,"Batch2"
"Cell1454",7101,11038,19133,1068,13497,1244,"Batch2"
"Cell1455",9042,17494,16749,1164,15195,1485,"Batch2"
"Cell1456",7722,16723,20619,1138,18812,1232,"Batch2"
"Cell1457",7615,16634,23687,946,18137,1595,"Batch2"
"Cell1458",9835,17975,20008,1299,19316,1814,"Batch2"
"Cell1459",6962,11268,16409,758,14882,1016,"Batch2"
"Cell1460",11212,16641,23337,1043,16420,1641,"Batch2"
"Cell1461",7162,10722,18884,665,11734,1356,"Batch2"
"Cell1462",5307,10894,14718,684,11306,905,"Batch2"
"Cell1463",6587,12729,13997,762,12478,726,"Batch2"
"Cell1464",6432,16222,22249,1187,15868,1474,"Batch2"
"Cell1465",6787,12762,17039,1018,14310,1106,"Batch2"
"Cell1466",10259,17257,22581,1260,18299,1463,"Batch2"
"Cell1467",8547,14028,20907,1026,16664,1906,"Batch2"
"Cell1468",8797,12318,26868,1006,18224,1487,"Batch2"
"Cell1469",2708,7151,8695,425,7031,648,"Batch2"
"Cell1470",8625,18208,26419,1206,17875,1755,"Batch2"
"Cell1471",6546,11674,20548,1022,12840,1468,"Batch2"
"Cell1472",9573,21569,24048,1102,20191,1831,"Batch2"
"Cell1473",8957,15365,24377,953,18860,1147,"Batch2"
"Cell1474",8726,17530,20992,973,17966,1579,"Batch2"
"Cell1475",4246,7748,10643,655,7945,689,"Batch2"
"Cell1476",8203,12189,21474,652,16772,1418,"Batch2"
"Cell1477",6228,11507,14489,692,9100,1237,"Batch2"
"Cell1478",5251,7936,13364,745,11529,943,"Batch2"
"Cell1479",11032,12746,18232,923,18816,1557,"Batch2"
"Cell1480",8061,13860,19315,1119,14159,1442,"Batch2"
"Cell1481",6776,9948,16006,741,12197,1017,"Batch2"
"Cell1482",8159,14401,21403,1133,18046,1730,"Batch2"
"Cell1483",9491,16677,22731,1239,19129,1773,"Batch2"
"Cell1484",8063,10478,18975,907,16731,1489,"Batch2"
"Cell1485",6281,10633,13559,707,11501,1183,"Batch2"
"Cell1486",7086,12628,16898,876,16132,1481,"Batch2"
"Cell1487",5552,10528,16044,765,11033,986,"Batch2"
"Cell1488",5695,10740,14380,792,11892,1084,"Batch2"
"Cell1489",7512,12921,14952,900,14251,1450,"Batch2"
"Cell1490",5990,13485,21151,893,13738,1244,"Batch2"
"Cell1491",5172,11431,16565,706,9903,878,"Batch2"
"Cell1492",9739,20076,27890,1101,20623,1891,"Batch2"
"Cell1493",7165,12453,18792,947,15246,990,"Batch2"
"Cell1494",8774,16649,27798,1422,18694,1421,"Batch2"
"Cell1495",6939,11874,16250,1112,17174,1516,"Batch2"
"Cell1496",6228,10743,15500,782,11291,1390,"Batch2"
"Cell1497",6084,10555,17999,733,14264,784,"Batch2"
"Cell1498",9775,15202,19730,1148,16328,1472,"Batch2"
"Cell1499",5186,8652,17647,614,12907,1618,"Batch2"
"Cell1500",8705,13993,16990,730,15284,1294,"Batch2"
"Cell1501",10222,17352,17345,937,18896,1376,"Batch2"
"Cell1502",8452,18950,18689,1183,14659,1279,"Batch2"
"Cell1503",8226,14023,20504,1046,11262,1252,"Batch2"
"Cell1504",6391,10700,12942,895,14503,1545,"Batch2"
"Cell1505",5691,9435,13837,709,12071,1032,"Batch2"
"Cell1506",7409,13333,22926,1109,14729,1226,"Batch2"
"Cell1507",5385,13214,15742,823,14452,1159,"Batch2"
"Cell1508",9106,18578,23113,836,13504,1501,"Batch2"
"Cell1509",10567,20673,26893,1643,22888,2010,"Batch2"
"Cell1510",6619,14840,14021,952,15439,1215,"Batch2"
"Cell1511",7297,14407,19467,891,14265,1321,"Batch2"
"Cell1512",10317,16076,22214,1082,18853,1779,"Batch2"
"Cell1513",9128,17409,20391,917,18522,1486,"Batch2"
"Cell1514",7919,10856,19989,1171,11208,1434,"Batch2"
"Cell1515",7506,16622,26077,1559,21227,1871,"Batch2"
"Cell1516",8461,14368,18649,1126,19252,1639,"Batch2"
"Cell1517",8065,14994,17981,1119,20520,1304,"Batch2"
"Cell1518",8948,14504,22038,1098,18310,1424,"Batch2"
"Cell1519",7285,9904,15610,1097,13212,1136,"Batch2"
"Cell1520",9007,13776,20792,1120,16159,1495,"Batch2"
"Cell1521",7191,13439,22186,1078,14712,1461,"Batch2"
"Cell1522",8273,15678,18455,1066,13924,1568,"Batch2"
"Cell1523",9167,15587,22242,1449,18969,1206,"Batch2"
"Cell1524",9012,16278,23764,1201,21071,1640,"Batch2"
"Cell1525",3871,12036,10063,566,10370,881,"Batch2"
"Cell1526",12086,17005,30352,1461,22080,2010,"Batch2"
"Cell1527",8384,20207,20345,1135,20350,1309,"Batch2"
"Cell1528",6238,16167,20534,767,16061,1193,"Batch2"
"Cell1529",7336,14228,18133,1120,23222,1613,"Batch2"
"Cell1530",6291,12179,19465,579,14463,1185,"Batch2"
"Cell1531",7876,10776,15967,843,11993,1115,"Batch2"
"Cell1532",9011,15425,25234,1180,16306,1601,"Batch2"
"Cell1533",8207,18122,25026,891,19848,1475,"Batch2"
"Cell1534",7417,12020,19024,778,14060,1046,"Batch2"
"Cell1535",10946,16312,19555,1147,21592,1324,"Batch2"
"Cell1536",8296,13829,15292,931,14864,1281,"Batch2"
"Cell1537",7812,14931,21770,981,19345,1478,"Batch2"
"Cell1538",10651,22912,22745,1311,21846,2124,"Batch2"
"Cell1539",6306,13471,17779,1157,13879,1430,"Batch2"
"Cell1540",6744,12613,18685,772,13407,1054,"Batch2"
"Cell1541",8648,20593,19776,1002,16682,1659,"Batch2"
"Cell1542",9658,19021,24437,1403,20488,1896,"Batch2"
"Cell1543",10350,14347,27162,1433,17887,1658,"Batch2"
"Cell1544",8207,12368,16308,921,16177,1034,"Batch2"
"Cell1545",10814,21344,31586,1106,23865,1651,"Batch2"
"Cell1546",7537,16001,20298,1198,13883,1203,"Batch2"
"Cell1547",6242,11350,18648,850,11789,1428,"Batch2"
"Cell1548",6243,13630,13828,995,14543,1044,"Batch2"
"Cell1549",7359,13214,15983,619,13282,1419,"Batch2"
"Cell1550",7402,14282,16612,975,16350,1208,"Batch2"
"Cell1551",5397,13592,17104,837,15612,1281,"Batch2"
"Cell1552",7281,9671,13537,864,12398,1235,"Batch2"
"Cell1553",4372,8111,13509,815,9718,731,"Batch2"
"Cell1554",6782,13582,21744,1174,15817,1052,"Batch2"
"Cell1555",9359,18859,19718,1146,19346,1775,"Batch2"
"Cell1556",7029,11546,19920,969,14160,1034,"Batch2"
"Cell1557",5044,11535,13654,894,12098,1058,"Batch2"
"Cell1558",10352,14330,23225,887,18662,1680,"Batch2"
"Cell1559",7896,12852,15209,1264,15966,1374,"Batch2"
"Cell1560",9808,14354,17946,1277,20445,1403,"Batch2"
"Cell1561",9028,13109,20543,1231,17447,1666,"Batch2"
"Cell1562",6808,14079,16660,979,15627,1165,"Batch2"
"Cell1563",6839,10121,17975,844,14276,917,"Batch2"
"Cell1564",7128,14510,21265,860,18219,1472,"Batch2"
"Cell1565",8460,15499,21635,1177,21552,1920,"Batch2"
"Cell1566",6226,12089,14195,943,18682,1317,"Batch2"
"Cell1567",8825,13818,22610,862,14400,1097,"Batch2"
"Cell1568",9648,18492,29647,1669,25566,1946,"Batch2"
"Cell1569",6638,13176,16132,739,10706,1343,"Batch2"
"Cell1570",6276,12613,16498,846,14128,964,"Batch2"
"Cell1571",7687,16493,23605,969,19667,1728,"Batch2"
"Cell1572",7166,13742,19757,781,12643,1485,"Batch2"
"Cell1573",9598,13622,15585,856,14586,1376,"Batch2"
"Cell1574",7413,13642,25359,874,15451,1687,"Batch2"
"Cell1575",6495,15345,22073,924,16466,1860,"Batch2"
"Cell1576",5952,9149,15604,670,13103,1029,"Batch2"
"Cell1577",10715,17970,24919,1088,18262,1927,"Batch2"
"Cell1578",6655,10051,18592,878,12452,1519,"Batch2"
"Cell1579",9977,17989,31734,1219,23681,1778,"Batch2"
"Cell1580",8229,15745,18773,935,14637,1396,"Batch2"
"Cell1581",6235,11477,18011,574,12190,1018,"Batch2"
"Cell1582",11069,18597,29662,1234,22500,1802,"Batch2"
"Cell1583",7031,13720,15000,773,12474,1122,"Batch2"
"Cell1584",6608,13748,14289,776,13126,1042,"Batch2"
"Cell1585",7528,13321,22626,915,12398,1207,"Batch2"
"Cell1586",7144,9308,16251,724,11623,906,"Batch2"
"Cell1587",7626,16826,17813,1154,13580,1476,"Batch2"
"Cell1588",6574,12468,17930,854,16778,1264,"Batch2"
"Cell1589",6356,13567,18457,1058,16693,1112,"Batch2"
"Cell1590",9898,13428,23619,1123,16507,1363,"Batch2"
"Cell1591",7482,11852,20588,928,16458,985,"Batch2"
"Cell1592",7915,13443,27024,1278,19856,1452,"Batch2"
"Cell1593",11205,24351,31842,1495,19603,1791,"Batch2"
"Cell1594",12073,20365,28873,1534,29456,1841,"Batch2"
"Cell1595",8466,14823,20760,1129,21725,1698,"Batch2"
"Cell1596",10619,15535,24146,1276,18553,1638,"Batch2"
"Cell1597",8080,13223,28516,1240,20753,1408,"Batch2"
"Cell1598",8164,13625,19620,974,13810,1395,"Batch2"
"Cell1599",9830,15851,23106,1291,21739,1649,"Batch2"
"Cell1600",9480,19185,21498,1403,17092,1801,"Batch2"
"Cell1601",7913,18489,20384,974,14644,1666,"Batch2"
"Cell1602",6852,13615,21160,1200,14941,1432,"Batch2"
"Cell1603",6641,12298,13122,770,12992,1048,"Batch2"
"Cell1604",6734,10731,14050,931,12344,1081,"Batch2"
"Cell1605",6556,17914,28790,1045,21789,1751,"Batch2"
"Cell1606",8441,14717,19473,868,18619,1924,"Batch2"
"Cell1607",9018,16381,21244,1364,16727,1761,"Batch2"
"Cell1608",10448,17899,26948,1922,19563,2183,"Batch2"
"Cell1609",4059,11109,18316,776,11870,1015,"Batch2"
"Cell1610",6204,12734,15603,702,10355,1341,"Batch2"
"Cell1611",8943,15271,25945,1360,17042,1236,"Batch2"
"Cell1612",4977,11148,17501,647,13899,1194,"Batch2"
"Cell1613",6547,14094,20488,954,14242,1213,"Batch2"
"Cell1614",6100,14050,16833,1053,15288,1450,"Batch2"
"Cell1615",11244,23052,31552,1362,26940,1900,"Batch2"
"Cell1616",6837,12477,21066,1095,15434,1333,"Batch2"
"Cell1617",8084,14371,19691,1206,14111,1469,"Batch2"
"Cell1618",10294,15789,23292,869,16908,1803,"Batch2"
"Cell1619",8272,13588,20870,950,13997,1633,"Batch2"
"Cell1620",9307,16611,31843,1349,17671,1667,"Batch2"
"Cell1621",8980,16863,18169,1128,15841,1470,"Batch2"
"Cell1622",6591,12337,17026,927,13486,1223,"Batch2"
"Cell1623",8369,13514,19859,887,16174,1152,"Batch2"
"Cell1624",5500,14995,18713,839,10537,1287,"Batch2"
"Cell1625",12672,17460,27222,925,21995,1599,"Batch2"
"Cell1626",5582,9751,10956,579,9870,1097,"Batch2"
"Cell1627",6652,15558,20002,1001,15604,1507,"Batch2"
"Cell1628",8048,18180,19856,1308,18968,1720,"Batch2"
"Cell1629",5974,13964,19287,637,15765,1415,"Batch2"
"Cell1630",7479,14534,17991,997,13736,1217,"Batch2"
"Cell1631",7519,14390,17945,1054,15606,1290,"Batch2"
"Cell1632",11725,16800,22520,1124,17979,1895,"Batch2"
"Cell1633",9077,15360,21179,1101,20814,1831,"Batch2"
"Cell1634",11048,15668,26787,1215,16264,1733,"Batch2"
"Cell1635",11180,21953,19201,1319,22104,1622,"Batch2"
"Cell1636",7108,10949,19101,750,13304,1269,"Batch2"
"Cell1637",10441,15919,21607,1274,18065,1915,"Batch2"
"Cell1638",9176,14506,19692,743,15368,1705,"Batch2"
"Cell1639",8777,15028,25111,1132,19580,1432,"Batch2"
"Cell1640",6887,8725,12602,687,13426,1160,"Batch2"
"Cell1641",5981,15305,19577,863,14844,1279,"Batch2"
"Cell1642",8012,14580,21775,888,17781,1724,"Batch2"
"Cell1643",5975,11592,15933,924,11530,1587,"Batch2"
"Cell1644",7803,18514,22242,1439,17089,1703,"Batch2"
"Cell1645",6972,13691,17709,775,12679,1695,"Batch2"
"Cell1646",5298,10546,15145,716,12366,1287,"Batch2"
"Cell1647",9418,19221,24663,1147,16790,1736,"Batch2"
"Cell1648",9759,17553,24517,1390,19319,1491,"Batch2"
"Cell1649",8302,17286,21825,960,20199,1835,"Batch2"
"Cell1650",6168,16203,22148,847,16127,1307,"Batch2"
"Cell1651",6970,15804,20058,1100,16751,1427,"Batch2"
"Cell1652",8453,15493,22416,1118,15751,1537,"Batch2"
"Cell1653",5971,11226,14114,598,10887,1077,"Batch2"
"Cell1654",7525,12642,18962,934,15050,1488,"Batch2"
"Cell1655",6081,13918,24137,1012,17595,1191,"Batch2"
"Cell1656",6407,12893,22422,739,15849,1260,"Batch2"
"Cell1657",7157,14103,24261,888,15154,1622,"Batch2"
"Cell1658",5791,9818,14970,919,12273,1188,"Batch2"
"Cell1659",5177,9927,16514,793,9426,885,"Batch2"
"Cell1660",7592,14475,17579,1175,13248,1349,"Batch2"
"Cell1661",5811,9411,13219,533,11760,1015,"Batch2"
"Cell1662",8089,17167,23270,1053,21896,1481,"Batch2"
"Cell1663",10812,15858,16009,810,16263,1136,"Batch2"
"Cell1664",9357,17607,20591,1197,17854,1723,"Batch2"
"Cell1665",10569,17222,23913,1340,18463,1913,"Batch2"
"Cell1666",6402,10913,18749,857,11155,957,"Batch2"
"Cell1667",7994,12985,21148,1044,13557,1600,"Batch2"
"Cell1668",9858,15903,29797,1041,22390,1591,"Batch2"
"Cell1669",6887,11128,19337,1071,12880,1300,"Batch2"
"Cell1670",7005,10162,16770,894,13930,876,"Batch2"
"Cell1671",6936,12710,28422,1137,17275,1382,"Batch2"
"Cell1672",8045,18067,26019,1123,19308,1465,"Batch2"
"Cell1673",8284,16804,22304,1142,18014,1472,"Batch2"
"Cell1674",5494,12700,13281,730,11511,1216,"Batch2"
"Cell1675",5836,11562,16217,811,9598,893,"Batch2"
"Cell1676",7870,17068,18723,926,16907,1581,"Batch2"
"Cell1677",9242,17860,22822,1042,14422,1566,"Batch2"
"Cell1678",5581,11596,12155,596,10692,1110,"Batch2"
"Cell1679",8837,11821,16276,694,13468,973,"Batch2"
"Cell1680",6067,12119,14102,802,10623,1114,"Batch2"
"Cell1681",6092,12197,18047,847,13861,1024,"Batch2"
"Cell1682",6170,13198,17037,1043,17152,1156,"Batch2"
"Cell1683",8887,17235,29116,1130,22530,1751,"Batch2"
"Cell1684",7001,14566,18703,1284,14739,1609,"Batch2"
"Cell1685",10948,21219,29678,1390,19546,2060,"Batch2"
"Cell1686",9718,22847,24803,1797,23338,2108,"Batch2"
"Cell1687",7315,10808,20626,868,10123,1278,"Batch2"
"Cell1688",6016,10804,14453,719,12415,1019,"Batch2"
"Cell1689",7993,13779,21470,943,17743,1559,"Batch2"
"Cell1690",9271,12073,22741,1046,15511,1211,"Batch2"
"Cell1691",8576,18945,21001,1065,18555,1813,"Batch2"
"Cell1692",14097,20263,35371,1736,27932,2083,"Batch2"
"Cell1693",7957,12822,15583,979,16256,1001,"Batch2"
"Cell1694",13508,21781,31339,1726,24583,2055,"Batch2"
"Cell1695",7504,12636,17407,994,15068,1374,"Batch2"
"Cell1696",5438,11205,15526,877,16065,1449,"Batch2"
"Cell1697",8396,15600,17282,1092,16189,1565,"Batch2"
"Cell1698",9065,16429,19124,1046,22671,1886,"Batch2"
"Cell1699",5171,10381,14778,587,13899,947,"Batch2"
"Cell1700",6359,11186,16107,888,12761,1025,"Batch2"
"Cell1701",4595,12958,12607,699,11438,996,"Batch2"
"Cell1702",5819,12684,19519,832,14917,1507,"Batch2"
"Cell1703",7517,13944,17897,1132,18174,1515,"Batch2"
"Cell1704",6794,13117,16808,1027,12303,1396,"Batch2"
"Cell1705",8187,13463,22307,1215,16098,1715,"Batch2"
"Cell1706",7970,14540,22676,1020,19574,1338,"Batch2"
"Cell1707",8252,13427,15691,842,14631,1280,"Batch2"
"Cell1708",7350,14745,17750,966,16676,1315,"Batch2"
"Cell1709",10136,17767,28824,1092,17580,1783,"Batch2"
"Cell1710",10586,21282,23652,1067,18504,1844,"Batch2"
"Cell1711",15806,19422,27624,1784,26824,2498,"Batch2"
"Cell1712",5797,11590,20484,1140,15748,1151,"Batch2"
"Cell1713",8227,12311,30110,876,17908,1598,"Batch2"
"Cell1714",6898,12626,11363,732,11718,677,"Batch2"
"Cell1715",5147,12097,15362,820,9282,1008,"Batch2"
"Cell1716",9361,18581,28932,912,15884,1095,"Batch2"
"Cell1717",7642,15541,17217,1256,16287,1487,"Batch2"
"Cell1718",7909,13101,18341,985,16855,1443,"Batch2"
"Cell1719",9334,17347,31358,1070,19566,1460,"Batch2"
"Cell1720",7720,18079,21269,908,15419,1709,"Batch2"
"Cell1721",9213,16369,18227,772,12211,1191,"Batch2"
"Cell1722",6706,12343,16859,659,10995,1172,"Batch2"
"Cell1723",6302,12488,15703,816,13426,923,"Batch2"
"Cell1724",7266,16101,23159,1137,14939,1280,"Batch2"
"Cell1725",8648,19561,25950,1393,17667,1529,"Batch2"
"Cell1726",11216,23718,32953,1567,23062,2153,"Batch2"
"Cell1727",5692,10566,14909,750,15460,1006,"Batch2"
"Cell1728",6518,11125,12795,640,11156,962,"Batch2"
"Cell1729",8241,14881,17249,909,13310,1186,"Batch2"
"Cell1730",7350,17884,20785,1101,17105,1599,"Batch2"
"Cell1731",6433,14343,21227,815,16312,1164,"Batch2"
"Cell1732",10199,21365,25242,1096,20142,2008,"Batch2"
"Cell1733",6038,14474,19176,1110,14217,1011,"Batch2"
"Cell1734",9989,15422,24213,1101,21537,1834,"Batch2"
"Cell1735",7583,14549,21973,810,15285,1371,"Batch2"
"Cell1736",12257,19850,20240,1108,21588,1875,"Batch2"
"Cell1737",9569,15715,22861,1141,21061,1411,"Batch2"
